ts,te,td,sa,da,sp,dp,pr,flg,fwd,stos,ipkt,ibyt,opkt,obyt,in,out,sas,das,smk,dmk,dtos,dir,nh,nhb,svln,dvln,ismc,odmc,idmc,osmc,mpls1,mpls2,mpls3,mpls4,mpls5,mpls6,mpls7,mpls8,mpls9,mpls10,cl,sl,al,ra,eng,exid,tr
2023-05-15 17:01:24,2023-05-15 17:01:54,30.030,94.140.14.140,172.30.1.4,443,60756,TCP,...AP.SF,0,0,15,3566,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.047,    5.034,    4.343,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-15 17:01:13,2023-05-15 17:01:43,30.098,194.156.163.172,172.30.1.4,443,43732,TCP,...AP.SF,0,0,12,4434,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.054,    6.823,    5.503,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-15 17:02:57,2023-05-15 17:03:46,49.255,172.30.1.4,76.76.2.11,49188,443,TCP,...APRSF,0,0,25,1747,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.068,    4.923,    4.892,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-15 17:02:22,2023-05-15 17:02:52,30.046,172.30.1.4,76.76.2.11,60332,443,TCP,...APRSF,0,0,17,1276,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.034,    5.814,    4.593,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-15 17:02:57,2023-05-15 17:03:46,49.250,76.76.2.11,172.30.1.4,443,49188,TCP,...AP.SF,0,0,25,5210,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.068,    4.923,    4.892,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-15 17:02:22,2023-05-15 17:02:52,30.040,76.76.2.11,172.30.1.4,443,60332,TCP,...AP.SF,0,0,19,4566,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.034,    5.814,    4.593,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-15 17:03:37,2023-05-15 17:04:07,30.488,1.0.0.1,172.30.1.4,443,33900,TCP,...AP.SF,0,0,9,3923,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.070,    5.553,    4.538,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-15 17:03:37,2023-05-15 17:04:07,30.493,172.30.1.4,1.0.0.1,33900,443,TCP,...AP.SF,0,0,13,1186,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.070,    5.553,    4.538,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-15 17:04:48,2023-05-15 17:05:18,30.045,1.0.0.1,172.30.1.4,443,50436,TCP,...AP.SF,0,0,10,3976,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.048,    7.417,    4.777,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-15 17:05:32,2023-05-15 17:05:42,10.093,194.242.2.2,172.30.1.4,443,49438,TCP,...APRSF,0,0,11,5957,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.053,    4.733,    4.443,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-15 17:04:48,2023-05-15 17:05:18,30.053,172.30.1.4,1.0.0.1,50436,443,TCP,...AP.SF,0,0,13,1186,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.048,    7.417,    4.777,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-15 17:05:32,2023-05-15 17:05:42,10.095,172.30.1.4,194.242.2.2,49438,443,TCP,...AP.SF,0,0,13,1083,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.053,    4.733,    4.443,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-15 17:05:00,2023-05-15 17:05:30,30.423,172.30.1.4,94.140.14.140,48528,443,TCP,...APRSF,0,0,16,1284,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.063,    7.726,    4.782,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-15 17:05:00,2023-05-15 17:05:30,30.416,94.140.14.140,172.30.1.4,443,48528,TCP,...AP.SF,0,0,16,3749,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.063,    7.726,    4.782,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
