ts,te,td,sa,da,sp,dp,pr,flg,fwd,stos,ipkt,ibyt,opkt,obyt,in,out,sas,das,smk,dmk,dtos,dir,nh,nhb,svln,dvln,ismc,odmc,idmc,osmc,mpls1,mpls2,mpls3,mpls4,mpls5,mpls6,mpls7,mpls8,mpls9,mpls10,cl,sl,al,ra,eng,exid,tr
2023-05-18 18:17:33,2023-05-18 18:17:50,17.219,103.62.48.147,172.31.1.100,443,47564,TCP,...AP.S.,0,0,13,4610,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.052,    7.628,    5.036,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-18 18:17:51,2023-05-18 18:18:19,27.566,1.0.0.1,172.31.1.100,443,41540,TCP,...AP...,0,0,25,5521,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    1.775,    5.899, 2016.787,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-18 18:18:21,2023-05-18 18:18:21,0.014,194.242.2.2,172.31.1.100,443,40936,TCP,...AP.S.,0,0,3,2520,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.116,   12.410,    6.821,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-18 18:17:56,2023-05-18 18:18:11,14.741,76.76.2.11,172.31.1.100,443,41392,TCP,...AP..F,0,0,3,120,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,14740.713,    0.043,    0.133,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-18 18:17:51,2023-05-18 18:18:19,27.572,172.31.1.100,1.0.0.1,41540,443,TCP,...AP...,0,0,25,2447,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    1.775,    5.899, 2016.787,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-18 18:18:21,2023-05-18 18:18:21,0.013,172.31.1.100,194.242.2.2,40936,443,TCP,...AP.S.,0,0,3,385,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.116,   12.410,    6.821,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-18 18:17:56,2023-05-18 18:18:11,14.741,172.31.1.100,76.76.2.11,41392,443,TCP,...APR.F,0,0,5,160,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,14740.713,    0.043,    0.133,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-18 18:18:05,2023-05-18 18:18:05,0.004,172.31.1.100,103.62.48.147,47564,443,TCP,...APR.F,0,0,5,148,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.181,    3.492,    0.000,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-18 18:18:05,2023-05-18 18:18:05,0.000,103.62.48.147,172.31.1.100,443,47564,TCP,...AP..F,0,0,3,120,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.181,    3.492,    0.000,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-18 18:18:33,2023-05-18 18:18:49,16.334,1.0.0.1,172.31.1.100,443,41540,TCP,...AP...,0,0,11,2712,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.391,    6.625, 2027.284,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-18 18:18:21,2023-05-18 18:18:31,10.113,194.242.2.2,172.31.1.100,443,40936,TCP,...APR.F,0,0,10,3492,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,   13.804,    0.116,    0.335,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-18 18:18:25,2023-05-18 18:18:44,18.706,76.76.2.11,172.31.1.100,443,37432,TCP,...AP.S.,0,0,15,4371,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.076,    7.296,    4.770,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-18 18:18:33,2023-05-18 18:18:49,16.335,172.31.1.100,1.0.0.1,41540,443,TCP,...AP...,0,0,15,1522,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.391,    6.625, 2027.284,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-18 18:18:21,2023-05-18 18:18:31,10.108,172.31.1.100,194.242.2.2,40936,443,TCP,...AP..F,0,0,12,763,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,   13.804,    0.116,    0.335,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-18 18:18:25,2023-05-18 18:18:44,18.713,172.31.1.100,76.76.2.11,37432,443,TCP,...AP.S.,0,0,13,1160,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.076,    7.296,    4.770,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
